"","Estacion","Latitud","Longitud","D1","D2","Cluster"
"149","SANTANA (203)","-22.0744","-48.0453","0.0847820583497956","-0.199479062863951","3"
"150","SANTO ANTONIO (287)","-8.25","-63.33","1.31329019054116","-0.0262565938102219","3"
"151","SANTO ANTÔNIO DO JARI (290)","-0.65","-52.5167","0.650550420672954","-0.162204932893783","3"
"152","SÃO MANOEL (230)","","","1.10681181934324","-0.0152921356031042","3"
"153","SÃO SALVADOR (253)","-12.7997","-48.2414","0.404149003512751","-0.0213143496032355","3"
"154","SÃO SIMÃO (33)","-19.0153","-50.4931","0.547834754784426","0.0311494163036297","3"
"155","SERRA DA MESA (270)","-13.8272","-48.3078","0.352958491526326","-0.0331235254343911","3"
"156","SERRA DO FACÃO (251)","-18.0697","-47.6736","0.401862148963967","-0.0731284793989527","3"
"157","SIMPLÍCIO ARTIFICIAL (126)","","","0.819358368588328","-0.0892835191885335","3"
"158","SINOP (227)","","","1.04080509776751","-0.0117370810735257","3"
"159","SOBRADINHO (169)","-9.43333","-40.8283","0.415478231934554","0.125310845889992","3"
"160","SOBRADINHO INCREMENTAL (168)","","","0.252488908688094","0.171570465276908","3"
"161","SOBRAGI (198)","-21.94","-43.37","0.175123557217947","0.0105861020570663","3"
"162","STA CECILIA (125)","-22.4833","-43.8389","0.423228354622718","-0.124688884288699","3"
"163","TELES PIRES (229)","-9.34306","-56.7764","1.10692684084829","-0.0153843900754934","3"
"164","TOCOS (201)","-22.7486","-44.1247","0.0670392533582293","-0.177382104232523","3"
"165","TRÊS IRMÃOS (243)","-20.6714","-51.2986","-0.139611247789388","0.0696075531579708","3"
"166","TRÊS IRMÃOS ARTIFICIAL (43)","","","-0.164149391641493","0.0744185483281464","3"
"167","TRÊS MARIAS (156)","-18.2139","-45.2583","0.281437435141264","-0.0582174954957363","3"
"168","TUCURUI (275)","-3.83306","-49.6469","0.976133967876687","-0.0804994402670007","3"
"169","VOLTA GRANDE (11)","-20.0328","-48.2214","0.37189954683494","0.00851400557053852","3"
"170","XINGÓ (178)","-9.61806","-37.79","0.429114224937111","0.128497911817463","3"
"171","EDGARD DE SOUZA COM TRIBUTÁRIOS (161)","","","0.012345250831686","0.271323133531432","4"
"172","EDGARD DE SOUZA MENOS TRIBUTÁRIOS (164)","","","-0.0552488743804234","0.447792230563407","4"
"173","ESPORA (99)","-18.6667","-51.85","0.26820190388161","0.845728025927775","4"
"174","ITAIPU (266)","-25.4075","-54.5872","0.0855299238541433","0.389911337672257","4"
"175","ITAIPU ARTIFICIAL (66)","","","0.0831060547655784","0.391110793233736","4"
"176","ITIQUIRA I e II (259)","-17.0908","-54.8308","0.371190201994283","0.347702248977594","4"
"177","JAURU (295)","-15.2389","-58.73","0.167733720511786","0.609918387819347","4"
"178","PONTE DE PEDRA (281)","-17.6078","-54.8272","-0.539879330449165","1.80235804008056","4"
"179","QUEIMADO (158)","-16.2092","-47.3233","-0.0834569864339281","0.246887069528667","4"
